Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;n1;;I;2;SAO PAULO;SP;06/2016;3.401.515;0;3.401.515;0;3.401.515;3.133.648;0;0;0;0;0;3.262.140;6.395.788;0;53,18%;53,18%;53,18%;NI%;0,94%
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;;I;2;SAO PAULO;SP;06/2016;487.201;0;487.201;0;487.201;2.452.428;0;0;1.220.914;0;1.220.914;256.098;3.929.440;0;12,40%;12,40%;12,40%;NI%;8,85%
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;;I;1;PORTO ALEGRE;RS;06/2016;543.316;0;543.316;0;543.316;3.462.119;4.662;0;0;0;4.662;329.669;3.796.450;0;14,31%;14,31%;14,31%;NI%;5,91%
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;;I;2;BEBEDOURO;SP;06/2016;1.173.448;0;1.173.448;0;1.173.448;2.753.635;0;0;0;0;0;448.931;3.202.566;4.714.441;36,64%;36,64%;36,64%;24,89%;6,26%
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;;I;2;SAO PAULO;SP;06/2016;799.250;0;799.250;0;799.250;2.426.496;0;0;0;0;0;401.413;2.827.909;0;28,26%;28,26%;28,26%;NI%;0,05%
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;;I;2;BLUMENAU;SC;06/2016;823.670;0;823.670;0;823.670;2.655.819;NA;NA;NA;NA;NA;NA;2.655.819;0;31,01%;31,01%;31,01%;NI%;1,89%
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;;I;2;BRASILIA;DF;06/2016;839.856;0;839.856;0;839.856;1.898.298;0;0;7.119;0;7.119;390.037;2.295.455;0;36,59%;36,59%;36,59%;NI%;5,75%
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71328769;b3S;;I;2;SERTAOZINHO;SP;06/2016;338.987;0;338.987;0;338.987;1.998.039;658;296;4.815;263;6.033;184.776;2.188.847;2.826.813;15,49%;15,49%;15,49%;11,99%;3,18%
UNIPRIME NORTE DO PARANA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS, PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES E EMPRESÁRIOS LTDA.;2398976;b3S;;I;2;LONDRINA;PR;06/2016;406.621;0;406.621;0;406.621;1.133.269;8.635;0;648.360;1.484;658.479;167.578;1.959.325;1.434.120;20,75%;20,75%;20,75%;28,35%;2,95%
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;;I;2;BRASILIA;DF;06/2016;435.536;0;435.536;0;435.536;1.493.213;NA;NA;NA;NA;NA;NA;1.493.213;0;29,17%;29,17%;29,17%;NI%;1,41%
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OURO VERDE DE MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;;I;2;LUCAS DO RIO VERDE;MT;06/2016;386.296;0;386.296;2.358;388.654;1.182.767;24.757;0;0;0;24.757;226.102;1.433.627;1.964.165;26,95%;26,95%;27,11%;19,67%;6,14%
