Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S4;I;2;BEBEDOURO;SP;12/2020;1.770.651;0;1.770.651;0;1.770.651;5.282.771;0;0;0;0;0;809.670;6.092.442;8.760.671;29,06%;29,06%;29,06%;20,21%;6,28%
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S5;I;2;BLUMENAU;SC;12/2020;NA;NA;NA;NA;1.755.982;5.612.545;0;NA;NA;NA;0;357.535;5.970.081;NA;NA%;NA%;29,41%;NA%;2,32%
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S4;I;2;SERTAOZINHO;SP;12/2020;794.553;0;794.553;0;794.553;3.948.146;0;0;0;38.000;38.000;492.091;4.478.237;5.902.244;17,74%;17,74%;17,74%;13,46%;7,02%
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;S4;I;2;SAO PAULO;SP;12/2020;813.916;0;813.916;0;813.916;3.556.409;1.464;0;0;0;1.464;920.042;4.477.915;NA;18,18%;18,18%;18,18%;NA%;2,32%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;S4;I;2;MEDIANEIRA;PR;12/2020;497.610;0;497.610;0;497.610;3.496.240;0;0;0;0;0;124.808;3.621.048;5.571.759;13,74%;13,74%;13,74%;8,93%;22,81%
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27351731;n1;S4;I;3;PORTO ALEGRE;RS;12/2020;485.875;0;485.875;0;485.875;3.402.927;3.577;0;0;0;3.577;149.633;3.556.137;NA;13,66%;13,66%;13,66%;NA%;0,80%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;S4;I;2;LUCAS DO RIO VERDE;MT;12/2020;787.758;0;787.758;0;787.758;3.459.780;22.465;0;1.943;0;24.408;66.427;3.550.615;5.245.936;22,19%;22,19%;22,19%;15,02%;4,97%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;S4;I;2;MARINGA;PR;12/2020;549.864;0;549.864;0;549.864;3.391.582;0;0;0;0;0;140.211;3.531.792;5.953.826;15,57%;15,57%;15,57%;9,24%;28,96%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;S4;I;2;PALOTINA;PR;12/2020;434.858;0;434.858;30.302;465.160;3.156.399;0;0;0;0;0;109.368;3.265.767;5.089.779;13,32%;13,32%;14,24%;8,54%;12,18%
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;S3;I;2;BRASILIA;DF;12/2020;949.032;0;949.032;0;949.032;2.732.866;0;0;0;0;0;449.141;3.182.007;NA;29,82%;29,82%;29,82%;NA%;1,92%
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;S5;I;2;CHAPECO;SC;12/2020;NA;NA;NA;NA;475.913;2.709.101;0;NA;NA;NA;0;139.462;2.848.563;NA;NA%;NA%;16,71%;NA%;12,56%
