Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;12/2015;67.726.891;27.036.585;94.763.476;39.837.233;134.600.709;776.831.364;15.923.161;4.649;2.418.956;0;18.346.766;40.379.214;835.557.345;0;8,11%;11,34%;16,11%;NI%;0,00%
ITAU;10069;b1;;C;2;SAO PAULO;SP;12/2015;93.541.467;68.866;93.610.333;27.494.984;121.105.317;738.569.893;1.536.291;472.600;11.290.673;952.182;14.251.745;31.835.831;784.657.469;0;11,92%;11,93%;15,43%;NI%;0,00%
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;12/2015;65.633.462;0;65.633.462;32.816.731;98.450.194;613.066.884;9.133.849;0;7.064.288;0;16.198.137;15.386.412;644.651.433;0;10,18%;10,18%;15,27%;NI%;0,00%
BRADESCO;10045;b1;;C;2;OSASCO;SP;12/2015;75.836.894;0;75.836.894;25.318.399;101.155.293;554.776.696;9.037.933;501.289;11.184.093;785;20.724.099;33.655.449;609.156.244;0;12,45%;12,45%;16,61%;NI%;0,00%
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;12/2015;55.538.425;0;55.538.425;23.425.335;78.963.760;504.353.382;814.019;0;1.713.180;0;2.527.199;37.047.296;543.927.877;0;10,21%;10,21%;14,52%;NI%;0,00%
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;12/2015;48.061.841;4.944.870;53.006.712;5.182.065;58.188.777;327.840.494;3.152.585;0;17.572.336;192.982;20.917.904;14.412.570;363.170.968;0;13,23%;14,60%;16,02%;NI%;0,00%
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;12/2015;14.880.097;5.142.708;20.022.806;3.977.264;24.000.070;133.220.037;12.121.216;16.396.582;12.427.318;3.535.964;44.481.080;5.197.366;182.898.482;0;8,14%;10,95%;13,12%;NI%;0,00%
HSBC;51152;b1;;C;3;CURITIBA;PR;12/2015;8.479.711;0;8.479.711;6.851.917;15.331.628;94.989.110;485.519;0;4.813.157;1.639;5.300.315;11.144.544;111.433.969;0;7,61%;7,61%;13,76%;NI%;0,00%
SAFRA;10083;b1;;C;2;SAO PAULO;SP;12/2015;8.801.007;1.174.261;9.975.268;2.043.186;12.018.455;75.134.907;2.165.142;0;192.827;63.600;2.421.569;3.936.327;81.492.803;0;10,80%;12,24%;14,75%;NI%;0,00%
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;12/2015;6.686.016;0;6.686.016;4.056.248;10.742.263;62.882.968;1.207.095;0;1.608.718;27.082;2.842.895;5.553.350;71.279.212;0;9,38%;9,38%;15,07%;NI%;0,00%
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;12/2015;7.490.694;0;7.490.694;0;7.490.694;38.009.697;1.159.672;54.194;9.739.774;65.024;11.018.663;4.390.920;53.419.280;0;14,02%;14,02%;14,02%;NI%;0,00%
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;12/2015;6.036.364;0;6.036.364;1.243.603;7.279.967;34.731.179;993.751;0;1.079;17.158;1.011.989;5.091.905;40.835.073;0;14,78%;14,78%;17,83%;NI%;0,00%
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;12/2015;2.689.059;0;2.689.059;2.581.194;5.270.254;30.704.853;372.978;14.145;80.718;0;467.842;5.938.742;37.111.437;0;7,25%;7,25%;14,20%;NI%;0,00%
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;12/2015;3.276.777;0;3.276.777;1.952.400;5.229.177;27.813.359;401.791;991;5.063.089;966.294;6.432.165;2.461.283;36.706.806;0;8,93%;8,93%;14,25%;NI%;0,00%
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;12/2015;2.677.527;0;2.677.527;670.517;3.348.044;21.490.516;259.530;0;3.809.513;0;4.069.042;2.199.532;27.759.091;0;9,65%;9,65%;12,06%;NI%;0,00%
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;12/2015;4.111.063;0;4.111.063;0;4.111.063;13.561.439;594.818;13.343;7.901.440;914.694;9.424.295;1.650.719;24.636.453;0;16,69%;16,69%;16,69%;NI%;0,00%
PAN;31323;b1;;C;2;SAO PAULO;SP;12/2015;2.360.128;0;2.360.128;919.813;3.279.941;18.780.781;174.007;0;150.078;0;324.085;1.108.418;20.213.283;0;11,68%;11,68%;16,23%;NI%;0,00%
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;12/2015;2.505.219;0;2.505.219;712.512;3.217.732;18.216.290;162.644;162.209;638.973;0;963.825;850.241;20.030.357;0;12,51%;12,51%;16,06%;NI%;0,00%
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;12/2015;2.592.505;0;2.592.505;966.196;3.558.701;17.812.507;0;0;0;0;0;982.018;18.794.526;0;13,79%;13,79%;18,93%;NI%;0,00%
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;12/2015;1.518.565;0;1.518.565;569.334;2.087.898;15.603.813;318.918;97.200;714.482;0;1.130.600;728.260;17.462.673;0;8,70%;8,70%;11,96%;NI%;0,00%
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;12/2015;2.883.142;0;2.883.142;0;2.883.142;15.486.491;1.844;0;39.982;0;41.825;851.935;16.380.251;0;17,60%;17,60%;17,60%;NI%;0,00%
DAYCOVAL;51987;b1;;C;2;SAO PAULO;SP;12/2015;2.780.264;0;2.780.264;0;2.780.264;12.693.371;363.448;0;1.061.305;702;1.425.456;1.038.741;15.157.567;0;18,34%;18,34%;18,34%;NI%;0,00%
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;12/2015;2.342.917;0;2.342.917;0;2.342.917;13.254.448;19.333;0;0;6.389;25.722;648.662;13.928.831;0;16,82%;16,82%;16,82%;NI%;0,00%
MORGAN STANLEY;51413;b1;;C;3;SAO PAULO;SP;12/2015;2.374.407;0;2.374.407;0;2.374.407;10.202.675;192.356;77.445;1.335.773;473.155;2.078.729;829.488;13.110.892;0;18,11%;18,11%;18,11%;NI%;0,00%
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;12/2015;1.743.439;0;1.743.439;0;1.743.439;9.202.746;81.369;0;2.791.844;0;2.873.212;853.818;12.929.776;0;13,48%;13,48%;13,48%;NI%;0,00%
BANCO GMAC S.A.;59274605;b2;;I;3;SAO PAULO;SP;12/2015;1.483.992;0;1.483.992;0;1.483.992;10.448.419;81;0;0;0;81;1.302.539;11.751.039;0;12,63%;12,63%;12,63%;NI%;0,00%
BMG;30290;b1;;C;2;SAO PAULO;SP;12/2015;1.213.543;0;1.213.543;829.417;2.042.960;10.522.746;26.129;0;0;0;26.129;555.368;11.104.243;0;10,93%;10,93%;18,40%;NI%;0,00%
BOFA MERRILL LYNCH;51255;b1;;C;3;SAO PAULO;SP;12/2015;1.483.208;0;1.483.208;0;1.483.208;6.250.535;214.429;0;2.982.679;0;3.197.109;1.123.149;10.570.793;0;14,03%;14,03%;14,03%;NI%;0,00%
MERCEDES-BENZ;51262;b2;;C;3;SAO PAULO;SP;12/2015;1.474.350;0;1.474.350;80.837;1.555.186;9.635.162;0;0;0;0;0;768.017;10.403.179;0;14,17%;14,17%;14,95%;NI%;0,00%
CCB;32119;b1;;C;3;SAO PAULO;SP;12/2015;363.617;0;363.617;1.066.668;1.430.285;8.601.477;32.109;0;21.692;4.466;58.267;1.579.519;10.239.263;0;3,55%;3,55%;13,97%;NI%;0,00%
BRB;31976;b1;;C;1;BRASILIA;DF;12/2015;1.165.176;0;1.165.176;353.633;1.518.809;8.845.137;68.597;462;42.553;17.646;129.259;655.600;9.629.996;0;12,10%;12,10%;15,77%;NI%;0,00%
ALFA;51293;b1;;C;2;SAO PAULO;SP;12/2015;2.122.056;0;2.122.056;0;2.122.056;7.915.945;61.391;0;256.594;4.222;322.207;750.976;8.989.127;0;23,61%;23,61%;23,61%;NI%;0,00%
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;12/2015;677.657;727;678.384;405.356;1.083.740;7.258.967;11.858;0;1.163;0;13.021;637.539;7.909.527;0;8,57%;8,58%;13,70%;NI%;0,00%
BANCO CLASSICO S.A.;31597552;b1;;I;2;RIO DE JANEIRO;RJ;12/2015;4.163.614;0;4.163.614;0;4.163.614;115.080;0;0;1.424.216;6.082.463;7.506.679;185.986;7.807.745;0;53,33%;53,33%;53,33%;NI%;0,00%
PINE;50304;b1;;C;2;SAO PAULO;SP;12/2015;1.070.080;0;1.070.080;0;1.070.080;6.948.637;10.756;108.655;391.673;0;511.084;121.544;7.581.265;0;14,11%;14,11%;14,11%;NI%;0,00%
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;12/2015;1.172.641;136.376;1.309.017;0;1.309.017;6.185.329;68.179;0;51.303;158;119.640;572.690;6.877.658;0;17,05%;19,03%;19,03%;NI%;0,00%
ORIGINAL;51781;b1;;C;2;SAO PAULO;SP;12/2015;1.960.317;0;1.960.317;0;1.960.317;5.854.868;141.671;0;235.663;97.642;474.976;414.846;6.744.690;0;29,06%;29,06%;29,06%;NI%;0,00%
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;;I;3;CURITIBA;PR;12/2015;1.197.493;0;1.197.493;0;1.197.493;6.259.805;0;0;0;0;0;477.235;6.737.040;0;17,77%;17,77%;17,77%;NI%;0,00%
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;;I;1;BELO HORIZONTE;MG;12/2015;986.491;0;986.491;0;986.491;5.582.321;104.238;0;390.277;0;494.516;416.158;6.492.994;0;15,19%;15,19%;15,19%;NI%;0,00%
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;;I;3;SAO PAULO;SP;12/2015;768.282;0;768.282;783.852;1.552.134;6.015.534;123.709;0;5.245;0;128.955;171.990;6.316.478;0;12,16%;12,16%;24,57%;NI%;0,00%
GOLDMAN SACHS;51585;b2;;C;3;SAO PAULO;SP;12/2015;1.268.905;0;1.268.905;0;1.268.905;3.931.746;17.270;34.755;1.451.073;133.188;1.636.286;663.278;6.231.310;0;20,36%;20,36%;20,36%;NI%;0,00%
JOHN DEERE;50071;b1;;C;3;INDAIATUBA;SP;12/2015;822.053;0;822.053;80.296;902.349;5.588.727;317.985;0;0;0;317.985;206.545;6.113.257;0;13,45%;13,45%;14,76%;NI%;0,00%
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;;I;3;SAO PAULO;SP;12/2015;1.303.579;0;1.303.579;0;1.303.579;3.873.721;49.029;0;1.597.473;0;1.646.502;355.880;5.876.103;0;22,18%;22,18%;22,18%;NI%;0,00%
BANCOOB;51750;b1;;C;2;BRASILIA;DF;12/2015;1.017.962;0;1.017.962;0;1.017.962;5.155.164;58.997;0;76.553;0;135.550;580.438;5.871.153;0;17,34%;17,34%;17,34%;NI%;0,00%
BANESTES;30159;b1;;C;1;VITORIA;ES;12/2015;1.150.507;0;1.150.507;0;1.150.507;4.693.141;21.955;0;69.865;0;91.820;939.956;5.724.917;0;20,10%;20,10%;20,10%;NI%;0,00%
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;12/2015;1.368.528;0;1.368.528;0;1.368.528;3.911.838;240.618;0;1.016.309;27.945;1.284.873;461.987;5.658.698;0;24,18%;24,18%;24,18%;NI%;0,00%
CREDIT AGRICOLE;51066;b1;;C;3;SAO PAULO;SP;12/2015;793.405;0;793.405;0;793.405;4.877.862;50.825;0;541.107;0;591.933;178.300;5.648.095;0;14,05%;14,05%;14,05%;NI%;0,00%
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;n1;;I;2;SAO PAULO;SP;12/2015;3.002.438;0;3.002.438;0;3.002.438;2.972.087;0;0;0;0;0;2.464.149;5.436.237;0;55,23%;55,23%;55,23%;NI%;0,54%
BANCO FIBRA S.A.;58616418;b1;;I;2;SAO PAULO;SP;12/2015;649.426;0;649.426;0;649.426;4.461.120;10.705;33.036;121.482;0;165.224;106.309;4.732.652;0;13,72%;13,72%;13,72%;NI%;0,00%
BANCO CATERPILLAR S.A.;2658435;b2;;I;3;SAO PAULO;SP;12/2015;644.922;0;644.922;59.901;704.823;4.154.987;75.672;0;0;0;75.672;216.143;4.446.801;0;14,50%;14,50%;15,85%;NI%;0,00%
PARANÁ BANCO;30881;b1;;C;2;CURITIBA;PR;12/2015;1.190.403;0;1.190.403;0;1.190.403;3.683.697;371;0;8.470;26.215;35.056;635.650;4.354.404;0;27,34%;27,34%;27,34%;NI%;0,00%
ING;51073;b1;;C;3;SAO PAULO;SP;12/2015;1.047.817;0;1.047.817;0;1.047.817;3.138.636;45.560;0;905.123;0;950.682;163.743;4.253.062;0;24,64%;24,64%;24,64%;NI%;0,00%
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;;I;2;SAO PAULO;SP;12/2015;449.012;0;449.012;0;449.012;2.403.120;0;0;1.497.855;0;1.497.855;192.729;4.093.703;0;10,97%;10,97%;10,97%;NI%;9,98%
BANCO CSF S.A.;8357240;b2;;I;3;SAO PAULO;SP;12/2015;1.418.302;0;1.418.302;0;1.418.302;3.877.992;9.389;0;0;0;9.389;176.059;4.063.440;0;34,90%;34,90%;34,90%;NI%;0,00%
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;;I;3;PORTO ALEGRE;RS;12/2015;826.013;0;826.013;0;826.013;3.751.682;628;0;0;0;628;274.443;4.026.753;0;20,51%;20,51%;20,51%;NI%;0,00%
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;;I;3;SAO PAULO;SP;12/2015;593.148;0;593.148;0;593.148;3.950.921;0;0;0;0;0;57.952;4.008.873;0;14,80%;14,80%;14,80%;NI%;0,00%
BANCO VOLVO BRASIL S.A.;58017179;b2;;I;3;CURITIBA;PR;12/2015;686.310;0;686.310;0;686.310;3.671.247;0;0;0;0;0;289.296;3.960.543;0;17,33%;17,33%;17,33%;NI%;0,00%
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;;I;2;BRASILIA;DF;12/2015;778.059;0;778.059;0;778.059;3.553.921;0;0;6.093;0;6.093;357.128;3.917.142;0;19,86%;19,86%;19,86%;NI%;6,59%
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;;I;1;PORTO ALEGRE;RS;12/2015;565.863;0;565.863;0;565.863;3.603.081;2.996;0;0;0;2.996;288.402;3.894.479;0;14,53%;14,53%;14,53%;NI%;5,87%
HAITONG;51482;b2;;C;3;SAO PAULO;SP;12/2015;609.059;0;609.059;0;609.059;2.115.853;59.660;0;1.172.548;0;1.232.208;185.368;3.533.430;0;17,24%;17,24%;17,24%;NI%;0,00%
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;;I;1;BELEM;PA;12/2015;682.236;0;682.236;0;682.236;3.005.769;1.239;0;3.595;0;4.834;282.875;3.293.477;0;20,71%;20,71%;20,71%;NI%;0,00%
BANCO FIDIS S/A;62237425;b2;;I;3;BETIM;MG;12/2015;605.389;0;605.389;0;605.389;2.954.670;8.345;0;0;0;8.345;265.225;3.228.240;0;18,75%;18,75%;18,75%;NI%;0,00%
HONDA;51396;b2;;C;3;SAO PAULO;SP;12/2015;614.481;0;614.481;0;614.481;3.073.952;0;0;0;0;0;143.473;3.217.425;0;19,10%;19,10%;19,10%;NI%;0,00%
INDUSTRIAL DO BRASIL;50988;b1;;C;2;SAO PAULO;SP;12/2015;488.639;0;488.639;11.982;500.621;2.408.224;179.163;0;295.357;0;474.520;225.565;3.108.309;0;15,72%;15,72%;16,11%;NI%;0,00%
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;;I;2;SAO PAULO;SP;12/2015;887.045;0;887.045;0;887.045;2.724.592;0;0;0;0;0;276.982;3.001.574;0;29,55%;29,55%;29,55%;NI%;0,05%
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CREDICITRUS;54037916;b3S;;I;2;BEBEDOURO;SP;12/2015;1.098.497;0;1.098.497;0;1.098.497;2.610.408;0;0;0;0;0;373.216;2.983.624;4.297.045;36,82%;36,82%;36,82%;25,56%;6,32%
SOFISA;31873;b1;;C;2;SAO PAULO;SP;12/2015;612.866;0;612.866;0;612.866;2.446.889;260.739;28;38.408;4.429;303.603;172.567;2.923.060;0;20,97%;20,97%;20,97%;NI%;0,00%
BBM;30207;b1;;C;2;SALVADOR;BA;12/2015;564.699;0;564.699;0;564.699;2.045.309;432.432;0;167.986;0;600.418;210.566;2.856.293;0;19,77%;19,77%;19,77%;NI%;0,00%
PSA FINANCE;51365;b2;;C;3;SAO PAULO;SP;12/2015;759.161;0;759.161;0;759.161;2.581.917;2.840;0;0;0;2.840;212.478;2.797.236;0;27,14%;27,14%;27,14%;NI%;0,00%
BANCO CARGILL S.A.;3609817;b1;;I;3;SAO PAULO;SP;12/2015;449.491;0;449.491;0;449.491;2.608.115;35.326;0;1.935;0;37.261;147.629;2.793.005;0;16,09%;16,09%;16,09%;NI%;0,00%
INDUSVAL;50531;b1;;C;2;SAO PAULO;SP;12/2015;434.244;0;434.244;0;434.244;2.469.431;8.221;55.579;38.099;64;101.964;106.831;2.678.227;0;16,21%;16,21%;16,21%;NI%;0,00%
MIZUHO;51554;b1;;I;3;SAO PAULO;SP;12/2015;543.282;0;543.282;0;543.282;2.021.020;7.623;0;507.149;0;514.772;79.840;2.615.632;0;20,77%;20,77%;20,77%;NI%;0,00%
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;;I;2;BLUMENAU;SC;12/2015;686.045;0;686.045;0;686.045;2.389.335;NA;NA;NA;NA;NA;NA;2.389.335;0;28,71%;28,71%;28,71%;NI%;2,38%
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;b1;;I;3;SAO PAULO;SP;12/2015;488.997;0;488.997;0;488.997;1.635.890;45.820;0;579.827;0;625.647;97.170;2.358.706;0;20,73%;20,73%;20,73%;NI%;0,00%
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71328769;b3S;;I;2;SERTAOZINHO;SP;12/2015;355.728;0;355.728;0;355.728;2.009.717;16.084;7.238;75.485;6.434;105.240;157.323;2.272.280;2.402.200;15,66%;15,66%;15,66%;14,81%;2,92%
BANCO TRIANGULO S.A.;17351180;b1;;I;2;UBERLANDIA;MG;12/2015;396.005;0;396.005;0;396.005;1.674.433;0;0;337;0;337;540.678;2.215.448;0;17,87%;17,87%;17,87%;NI%;0,00%
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;;I;1;ARACAJU;SE;12/2015;286.488;0;286.488;101.456;387.944;1.952.998;0;0;10.179;3;10.182;224.097;2.187.277;0;13,10%;13,10%;17,74%;NI%;0,00%
MODAL;51963;b1;;C;2;RIO DE JANEIRO;RJ;12/2015;235.862;0;235.862;72.850;308.712;1.468.980;236.196;5.336;312.964;1.536;556.033;89.432;2.114.445;0;11,15%;11,15%;14,60%;NI%;0,00%
BANCO BONSUCESSO S.A.;71027866;b1;;I;2;BELO HORIZONTE;MG;12/2015;213.180;0;213.180;151.084;364.264;1.310.462;6.687;2.455;331.627;23.273;364.042;398.874;2.073.378;0;10,28%;10,28%;17,57%;NI%;0,00%
