Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;n1;;I;2;SAO PAULO;SP;09/2016;3.627.107;0;3.627.107;0;3.627.107;2.927.933;0;0;0;0;0;3.716.213;6.644.146;0;54,59%;54,59%;54,59%;NI%;0,99%
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;;I;2;SAO PAULO;SP;09/2016;488.212;0;488.212;0;488.212;3.365.623;446;0;1.105.125;0;1.105.571;304.391;4.775.586;0;10,22%;10,22%;10,22%;NI%;11,36%
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;;I;1;PORTO ALEGRE;RS;09/2016;536.258;0;536.258;0;536.258;3.342.721;3.966;0;0;0;3.966;341.393;3.688.079;0;14,54%;14,54%;14,54%;NI%;5,89%
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;;I;2;BEBEDOURO;SP;09/2016;1.225.952;0;1.225.952;0;1.225.952;2.744.186;0;0;0;0;0;493.786;3.237.972;4.337.660;37,86%;37,86%;37,86%;28,26%;6,53%
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;;I;2;SAO PAULO;SP;09/2016;607.200;0;607.200;0;607.200;2.524.565;0;0;0;0;0;393.173;2.917.739;0;20,81%;20,81%;20,81%;NI%;0,06%
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;;I;2;BLUMENAU;SC;09/2016;862.802;0;862.802;0;862.802;2.808.888;NA;NA;NA;NA;NA;NA;2.808.888;0;30,72%;30,72%;30,72%;NI%;1,81%
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71328769;b3S;;I;2;SERTAOZINHO;SP;09/2016;343.592;0;343.592;0;343.592;2.190.954;4.060;1.827;18.559;1.624;26.071;199.105;2.416.129;2.959.502;14,22%;14,22%;14,22%;11,61%;3,06%
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;;I;2;BRASILIA;DF;09/2016;867.307;0;867.307;0;867.307;1.856.345;0;0;7.032;0;7.032;428.858;2.292.234;0;37,84%;37,84%;37,84%;NI%;5,60%
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;;I;2;MARINGA;PR;09/2016;242.921;0;242.921;0;242.921;1.446.772;0;0;0;0;0;110.800;1.557.571;2.363.516;15,60%;15,60%;15,60%;10,28%;21,68%
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;;I;2;BRASILIA;DF;09/2016;452.225;0;452.225;0;452.225;1.538.520;NA;NA;NA;NA;NA;NA;1.538.520;0;29,39%;29,39%;29,39%;NI%;1,36%
