Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE DA AMAZÔNIA LTDA. - SICOOB CREDISUL.;3632872;b3S;S5;I;2;VILHENA;RO;03/2021;NA;NA;NA;NA;440.992;2.440.441;0;NA;NA;NA;0;87.477;2.527.918;NA;NA%;NA%;17,44%;NA%;8,99%
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S4;I;2;BELO HORIZONTE;MG;03/2021;389.043;0;389.043;0;389.043;2.360.013;0;0;38.935;0;38.935;112.296;2.511.244;9.773.179;15,49%;15,49%;15,49%;3,98%;15,81%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91586982;b3S;S4;I;2;NOVA PETROPOLIS;RS;03/2021;474.877;0;474.877;0;474.877;2.306.942;0;0;4.759;0;4.759;157.007;2.468.708;4.170.197;19,24%;19,24%;19,24%;11,39%;8,69%
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;S4;I;1;PORTO ALEGRE;RS;03/2021;581.683;0;581.683;0;581.683;2.238.504;4.121;0;0;0;4.121;215.419;2.458.043;NA;23,66%;23,66%;23,66%;NA%;4,38%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO PLANALTO – SICREDI PLANALTO RS/MG;88038260;b3S;S4;I;2;CRUZ ALTA;RS;03/2021;559.451;0;559.451;0;559.451;2.367.016;0;0;1.150;0;1.150;73.513;2.441.679;3.506.969;22,91%;22,91%;22,91%;15,95%;1,60%
COOPERATIVA DE CRéDITO, POUPANçA E INVESTIMENTO UNIãO - SICREDI UNIAO RS/ES;88894548;b3S;S4;I;2;CERRO LARGO;RS;03/2021;497.093;0;497.093;0;497.093;2.296.705;0;0;1.548;0;1.548;143.020;2.441.273;4.031.955;20,36%;20,36%;20,36%;12,33%;5,96%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS - SICREDI CAMPOS GERAIS PR/SP;81466286;b3S;S4;I;2;PONTA GROSSA;PR;03/2021;376.767;0;376.767;0;376.767;2.331.247;0;0;1.137;0;1.137;91.629;2.424.013;3.794.720;15,54%;15,54%;15,54%;9,93%;19,59%
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;S5;I;2;GOIANIA;GO;03/2021;NA;NA;NA;NA;637.988;2.212.213;0;NA;NA;NA;0;132.087;2.344.300;NA;NA%;NA%;27,21%;NA%;5,92%
PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;S4;I;2;SAO PAULO;SP;03/2021;415.065;0;415.065;0;415.065;2.079.428;1.992;0;0;0;1.992;235.960;2.317.380;NA;17,91%;17,91%;17,91%;NA%;10,13%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUDOESTE MT/PA - SICREDI SUDOESTE MT/PA;32995755;b3S;S4;I;2;TANGARA DA SERRA;MT;03/2021;477.197;0;477.197;0;477.197;2.200.374;2.395;0;1.551;0;3.946;109.584;2.313.904;3.796.843;20,62%;20,62%;20,62%;12,57%;7,88%
