Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;S4;I;2;SAO PAULO;SP;06/2017;481.687;0;481.687;0;481.687;3.704.926;487;0;175.276;0;175.763;335.206;4.215.895;0;11,43%;11,43%;11,43%;NI%;3,84%
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S4;I;2;BEBEDOURO;SP;06/2017;1.313.572;0;1.313.572;0;1.313.572;3.203.377;0;0;0;0;0;563.853;3.767.230;5.517.819;34,87%;34,87%;34,87%;23,81%;6,09%
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;S4;I;1;PORTO ALEGRE;RS;06/2017;480.843;0;480.843;0;480.843;2.880.258;7.745;0;0;0;7.745;394.741;3.282.744;0;14,65%;14,65%;14,65%;NI%;6,25%
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S5;I;2;BLUMENAU;SC;06/2017;997.375;0;997.375;0;997.375;3.262.075;NA;NA;NA;NA;NA;NA;3.262.075;0;30,57%;30,57%;30,57%;NI%;1,66%
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;S4;I;2;SAO PAULO;SP;06/2017;750.074;0;750.074;0;750.074;2.616.087;0;0;0;0;0;455.129;3.071.216;0;24,42%;24,42%;24,42%;NI%;0,16%
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;S3;I;2;BRASILIA;DF;06/2017;622.560;0;622.560;0;622.560;2.302.000;0;0;78.144;0;78.144;466.393;2.846.537;0;21,87%;21,87%;21,87%;NI%;7,21%
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S4;I;2;SERTAOZINHO;SP;06/2017;330.664;0;330.664;0;330.664;2.212.139;5.136;2.165;23.533;1.924;32.758;230.859;2.475.756;2.854.087;13,36%;13,36%;13,36%;11,59%;3,54%
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;S5;I;2;BRASILIA;DF;06/2017;478.374;0;478.374;0;478.374;1.659.549;NA;NA;NA;NA;NA;NA;1.659.549;0;28,83%;28,83%;28,83%;NI%;1,20%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;S4;I;2;MARINGA;PR;06/2017;274.424;0;274.424;0;274.424;1.528.477;0;0;0;0;0;119.483;1.647.961;2.491.269;16,65%;16,65%;16,65%;11,02%;19,47%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;S4;I;2;LUCAS DO RIO VERDE;MT;06/2017;467.283;0;467.283;1.854;469.137;1.389.589;23.568;0;0;0;23.568;224.726;1.637.883;2.366.916;28,53%;28,53%;28,64%;19,74%;5,27%
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S4;I;2;BELO HORIZONTE;MG;06/2017;256.080;0;256.080;0;256.080;1.426.515;0;0;3.881;0;3.881;96.271;1.526.666;5.727.010;16,77%;16,77%;16,77%;4,47%;20,63%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;S4;I;2;MEDIANEIRA;PR;06/2017;296.505;0;296.505;4.634;301.139;1.419.535;0;0;0;0;0;96.545;1.516.080;2.328.370;19,56%;19,56%;19,86%;12,73%;16,77%
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;S4;I;1;SAO PAULO;SP;06/2017;705.781;0;705.781;0;705.781;1.203.024;0;0;0;0;0;248.964;1.451.988;0;48,61%;48,61%;48,61%;NI%;4,65%
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S4;I;2;FLORIANOPOLIS;SC;06/2017;159.442;0;159.442;0;159.442;1.374.858;0;0;1.269;0;1.269;47.004;1.423.130;6.138.685;11,20%;11,20%;11,20%;2,60%;5,42%
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;S4;I;3;BARUERI;SP;06/2017;565.213;0;565.213;0;565.213;1.149.130;4.616;0;0;0;4.616;177.624;1.331.370;0;42,45%;42,45%;42,45%;NI%;0,00%
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;S5;I;2;CHAPECO;SC;06/2017;207.121;0;207.121;0;207.121;1.284.650;NA;NA;NA;NA;NA;NA;1.284.650;0;16,12%;16,12%;16,12%;NI%;18,37%
CREDICOAMO CREDITO RURAL COOPERATIVA;81723108;b3S;S4;I;2;CAMPO MOURAO;PR;06/2017;529.388;0;529.388;0;529.388;1.147.532;0;441;0;0;441;134.723;1.282.697;2.835.310;41,27%;41,27%;41,27%;18,67%;0,16%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;S4;I;2;PALOTINA;PR;06/2017;220.253;0;220.253;10.935;231.188;1.141.114;0;0;0;0;0;98.785;1.239.899;1.903.287;17,76%;17,76%;18,65%;11,57%;9,94%
UNIPRIME NORTE DO PARANA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS, PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES E EMPRESÁRIOS LTDA.;2398976;b3S;S4;I;2;LONDRINA;PR;06/2017;524.176;0;524.176;0;524.176;987.792;18;0;20.802;12.250;33.071;203.702;1.224.565;1.771.864;42,81%;42,81%;42,81%;29,58%;2,20%
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88894548;b3S;S4;I;2;CERRO LARGO;RS;06/2017;294.047;0;294.047;0;294.047;1.127.158;0;0;2.975;0;2.975;90.969;1.221.101;1.954.157;24,08%;24,08%;24,08%;15,05%;10,36%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SORRISO - SICREDI CELEIRO DO MT;26555235;b3S;S4;I;2;SORRISO;MT;06/2017;294.700;0;294.700;0;294.700;1.046.738;1.568;0;0;0;1.568;125.095;1.173.400;1.780.582;25,12%;25,12%;25,12%;16,55%;6,63%
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA ÁREA DE SAÚDE DE MINAS GERAIS LTDA.;42898825;b3S;S4;I;2;BELO HORIZONTE;MG;06/2017;277.980;0;277.980;0;277.980;1.001.925;0;0;0;0;0;156.810;1.158.735;2.133.405;23,99%;23,99%;23,99%;13,03%;2,92%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91586982;b3S;S4;I;2;NOVA PETROPOLIS;RS;06/2017;308.923;0;308.923;0;308.923;1.078.950;0;0;6.126;0;6.126;42.346;1.127.422;2.316.119;27,40%;27,40%;27,40%;13,34%;6,81%
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;S4;I;2;BELO HORIZONTE;MG;06/2017;109.119;0;109.119;0;109.119;1.067.553;0;0;17.273;0;17.273;30.312;1.115.139;4.467.280;9,79%;9,79%;9,79%;2,44%;3,79%
