Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S4;I;2;BLUMENAU;SC;12/2021;1.984.811;0;1.984.811;0;1.984.811;7.605.151;0;0;0;0;0;1.372.908;8.978.059;12.427.644;22,11%;22,11%;22,11%;15,97%;2,38%
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S4;I;2;BEBEDOURO;SP;12/2021;1.940.115;0;1.940.115;0;1.940.115;5.302.027;0;0;0;0;0;891.030;6.193.057;9.473.791;31,33%;31,33%;31,33%;20,48%;5,37%
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;S4;I;2;SAO PAULO;SP;12/2021;951.649;0;951.649;0;951.649;4.887.676;2.509;0;0;0;2.509;987.223;5.877.409;NA;16,19%;16,19%;16,19%;NA%;0,83%
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S4;I;2;SERTAOZINHO;SP;12/2021;926.265;0;926.265;0;926.265;5.125.880;0;0;0;54.878;54.878;536.618;5.717.376;7.675.677;16,20%;16,20%;16,20%;12,07%;9,47%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;S4;I;2;LUCAS DO RIO VERDE;MT;12/2021;945.906;0;945.906;0;945.906;4.949.602;38.238;0;684;0;38.922;122.482;5.111.007;6.756.623;18,51%;18,51%;18,51%;14,00%;6,80%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;S4;I;2;MEDIANEIRA;PR;12/2021;645.958;0;645.958;0;645.958;4.550.116;0;0;508;0;508;193.747;4.744.372;6.862.616;13,62%;13,62%;13,62%;9,41%;19,06%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;S4;I;2;MARINGA;PR;12/2021;659.766;0;659.766;0;659.766;4.520.288;0;0;489;0;489;207.525;4.728.302;7.193.566;13,95%;13,95%;13,95%;9,17%;32,02%
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27351731;n1;S4;I;3;PORTO ALEGRE;RS;12/2021;597.300;0;597.300;0;597.300;4.472.675;6.721;0;0;0;6.721;210.166;4.689.562;NA;12,74%;12,74%;12,74%;NA%;0,68%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;S4;I;2;PALOTINA;PR;12/2021;563.874;0;563.874;40.623;604.497;4.386.152;0;0;403;0;403;173.615;4.560.170;6.773.680;12,37%;12,37%;13,26%;8,32%;7,97%
COOPERATIVA DE CRÉDITO SICREDI SERRANA RS/ES;90608712;b3S;S4;I;2;CARLOS BARBOSA;RS;12/2021;511.241;0;511.241;2.906;514.147;3.573.880;0;0;755;0;755;159.100;3.733.736;5.379.070;13,69%;13,69%;13,77%;9,50%;7,68%
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;S3;I;2;BRASILIA;DF;12/2021;1.223.892;0;1.223.892;0;1.223.892;3.279.840;0;0;0;0;0;452.282;3.732.122;NA;32,79%;32,79%;32,79%;NA%;1,67%
